name,city,address,region,is_active,latitude,longitude,source_url,banki_office_id
Сбербанк — Дополнительный офис №8644/0262,Алейск,"Алтайский край, г Алейск, ул Советская, д 102",Алтайский край,true,52.494038,82.777315,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/aleysk/,13290894
Сбербанк — Дополнительный офис №8644/0591,Алексеевка,"Алтайский край, Благовещенский р-н, с Алексеевка, ул Центральная, зд 12",Алтайский край,true,52.891913,80.539005,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/alekseevka_(blagovesschenskiy_r-n)/,13291063
Сбербанк — Дополнительный офис №8644/0396,Аллак,"Алтайский край, Каменский р-н, с Аллак, ул Тамбовская, влд 4",Алтайский край,true,53.79847,81.529056,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/allak/,13290965
Сбербанк — Дополнительный офис №8644/0564,Алтайское,"Алтайский край, с Алтайское, ул Ключевая, влд 45А",Алтайский край,true,51.95169,85.338333,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/altayskoe/,13291049
Сбербанк — Дополнительный офис №8644/0770,Анисимово,"Алтайский край, Тальменский р-н, с Анисимово, ул Тальменская, зд 13",Алтайский край,true,54.022821,83.62227,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/anisimovo/,13291158
Сбербанк — Дополнительный офис №8644/0582,Антоньевка,"Алтайский край, Петропавловский р-н, с Антоньевка, ул Советская, влд 20",Алтайский край,true,51.995233,83.973743,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/anton~evka/,13291059
Сбербанк — Дополнительный офис №8644/0411,Баево,"Алтайский край, с Баево, ул Ленина, зд 50А",Алтайский край,true,53.26583,80.774602,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/baevo/,13290970
Сбербанк — Дополнительный офис №8644/0703,Барановка,"Алтайский край, Змеиногорский р-н, с Барановка, ул Центральная, зд 51",Алтайский край,true,51.053724,82.209808,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/baranovka/,13291117
Сбербанк — Дополнительный офис №8644/0104,Барнаул,"г Барнаул, ул Германа Титова, д 17",Алтайский край,true,53.382352,83.72372,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290848
Сбербанк — Дополнительный офис №8644/0118,Барнаул,"г Барнаул, ул Новосибирская, д 32",Алтайский край,true,53.305935,83.613278,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290849
Сбербанк — Дополнительный офис №8644/0128,Барнаул,"г Барнаул, ул Малахова, д 64Б",Алтайский край,true,53.365571,83.702692,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290850
Сбербанк — Дополнительный офис №8644/0130,Барнаул,"г Барнаул, ул Северо-Западная, д 54",Алтайский край,true,53.371784,83.744958,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290851
Сбербанк — Дополнительный офис №8644/0136,Барнаул,"г Барнаул, ул Георгиева, д 14В",Алтайский край,true,53.351205,83.682998,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290852
Сбербанк — Дополнительный офис №8644/0137,Барнаул,"г Барнаул, ул Юрина, зд 305А",Алтайский край,true,53.373494,83.667436,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290853
Сбербанк — Дополнительный офис №8644/0138,Барнаул,"г Барнаул, ул Малахова, д 77",Алтайский край,true,53.35861,83.702815,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290854
Сбербанк — Дополнительный офис №8644/0142,Барнаул,"г Барнаул, ул Малахова, д 128",Алтайский край,true,53.344288,83.694792,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290855
Сбербанк — Дополнительный офис №8644/0148,Барнаул,"г Барнаул, тракт Павловский, д 132",Алтайский край,true,53.344218,83.682987,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290856
Сбербанк — Дополнительный офис №8644/0152,Барнаул,"г Барнаул, ул Юрина, д 202В",Алтайский край,true,53.370682,83.687582,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290857
Сбербанк — Дополнительный офис №8644/0153,Барнаул,"г Барнаул, ул Балтийская, д 39",Алтайский край,true,53.334564,83.682112,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290858
Сбербанк — Дополнительный офис №8644/0160,Барнаул,"г Барнаул, пр-кт Ленина, д 96Е",Алтайский край,true,53.35964,83.765148,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290859
Сбербанк — Дополнительный офис №8644/0162,Барнаул,"г Барнаул, ул Георгия Исакова, д 270",Алтайский край,true,53.368278,83.665219,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290860
Сбербанк — Дополнительный офис №8644/0172,Барнаул,"г Барнаул, пр-кт Красноармейский, влд 58А/1",Алтайский край,true,53.33748,83.77517,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290864
Сбербанк — Дополнительный офис №8644/0176,Барнаул,"г Барнаул, пр-кт Ленина, д 20",Алтайский край,true,53.336236,83.790216,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290866
Сбербанк — Дополнительный офис №8644/0182,Барнаул,"г Барнаул, рп Южный, ул Чайковского, д 29",Алтайский край,true,53.253338,83.690446,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290867
Сбербанк — Дополнительный офис №8644/0187,Барнаул,"г Барнаул, ул Северо-Западная, д 159",Алтайский край,true,53.35845,83.725558,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290868
Сбербанк — Дополнительный офис №8644/0192,Барнаул,"г Барнаул, пр-кт Строителей, д 10",Алтайский край,true,53.352765,83.765266,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13290869
Сбербанк — Дополнительный офис №8644/0784,Барнаул,"г Барнаул, ул Попова, д 113",Алтайский край,true,53.3418,83.671378,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13291164
Сбербанк — Дополнительный офис №8644/0794,Барнаул,"г Барнаул, пр-кт Комсомольский, д 106А",Алтайский край,true,53.349201,83.78493,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13291166
Сбербанк — Дополнительный офис №8644/0801,Барнаул,"г Барнаул, тракт Павловский, д 297",Алтайский край,true,53.344996,83.65676,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13291169
Сбербанк — СберПервый,Барнаул,"г Барнаул, пр-кт Красноармейский, д 15",Алтайский край,true,53.32735,83.784922,https://www.banki.ru/banks/bank/sberbank/branches/barnaul/,13326641
Сбербанк — Дополнительный офис №8644/0213,Бастан,"Алтайский край, Михайловский р-н, с Бастан, ул Ленина, зд 101",Алтайский край,true,51.859528,79.47045,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/bastan/,13290879
Сбербанк — Дополнительный офис №8644/0256,Безрукавка,"Алтайский край, Рубцовский р-н, с Безрукавка, ул Центральная, влд 11",Алтайский край,true,51.583784,81.282388,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/bezrukavka/,13290892
Сбербанк — Дополнительный офис №8644/0323,Белоглазово,"Алтайский край, Шипуновский р-н, с Белоглазово, ул Школьная, д 35",Алтайский край,true,52.116032,82.565254,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/beloglazovo/,13290928
Сбербанк — Дополнительный офис №8644/0549,Белокуриха,"Алтайский край, г Белокуриха, ул Академика Мясникова, влд 6",Алтайский край,true,51.992851,84.97718,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/belokuriha/,13291042
Сбербанк — Дополнительный офис №8644/0459,Березовка,"Алтайский край, Краснощековский р-н, с Березовка, ул Гагарина, влд 11",Алтайский край,true,51.845214,82.957379,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/berezovka_(krasnosschekovskiy_r-n)/,13290999
Сбербанк — Дополнительный офис №8644/0758,Березовка,"Алтайский край, Первомайский р-н, с Березовка, ул 40 лет Победы, влд 44",Алтайский край,true,53.406487,83.998983,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/berezovka_(pervomayskiy_r-n)/,13291148
Сбербанк — Дополнительный офис №8644/0334,Бийск,"Алтайский край, г Бийск, ул Владимира Ленина, д 244",Алтайский край,true,52.542814,85.221386,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/biysk/,13290933
Сбербанк — Дополнительный офис №8644/0347,Бийск,"Алтайский край, г Бийск, ул Михаила Митрофанова, влд 12",Алтайский край,true,52.532907,85.181255,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/biysk/,13290943
Сбербанк — Дополнительный офис №8644/0350,Бийск,"Алтайский край, г Бийск, ул Социалистическая, влд 34/1",Алтайский край,true,52.495255,85.141406,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/biysk/,13290945
Сбербанк — Дополнительный офис №8644/0384,Бийск,"Алтайский край, г Бийск, ул Советская, д 219",Алтайский край,true,52.512408,85.170851,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/biysk/,13290959
Сбербанк — Дополнительный офис №8644/0386,Бийск,"Алтайский край, г Бийск, ул Ленинградская, д 107",Алтайский край,true,52.513505,85.136742,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/biysk/,13290960
Сбербанк — Дополнительный офис №8644/0788,Бийск,"Алтайский край, г Бийск, ул Владимира Ленина, зд 153",Алтайский край,true,52.536052,85.205015,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/biysk/,13291165
Сбербанк — СберПервый,Бийск,"Алтайский край, г Бийск, ул Владимира Ленина, зд 153",Алтайский край,true,52.5361,85.205169,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/biysk/,13326642
Сбербанк — Дополнительный офис №8644/0587,Благовещенка,"Алтайский край, рп Благовещенка, ул Советская, д 36",Алтайский край,true,52.831005,79.868685,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/blagovesschenka/,13291061
Сбербанк — Дополнительный офис №8644/0316,Бобровка,"Алтайский край, Шипуновский р-н, с Бобровка, ул Молодежная, зд 24",Алтайский край,true,52.417592,82.131951,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/bobrovka_(shipunovskiy_r-n)/,13290924
Сбербанк — Дополнительный офис №8644/0759,Бобровка,"Алтайский край, Первомайский р-н, с Бобровка, ул Ленина, стр 36",Алтайский край,true,53.168484,83.893482,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/bobrovka_(pervomayskiy_r-n)/,13291149
Сбербанк — Дополнительный офис №8644/0519,Большеромановка,"Алтайский край, Табунский р-н, с Большеромановка, ул Ленина, влд 46",Алтайский край,true,52.994423,78.858463,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/bol~ssheromanovka/,13291022
Сбербанк — Дополнительный офис №8644/0753,Боровиха,"Алтайский край, Первомайский р-н, с Боровиха, ул Кооперативная, д 7",Алтайский край,true,53.505544,83.841454,https://www.banki.ru/banks/bank/sberbank/branches/altayskiy_kray/boroviha/,13291143
